Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseDeformationMapping applyJ,L2 bandwidth [MBytes/s],16509.629573,4298.924286,4048.950924,4127.407393
openmp-perfmon,BaseDeformationMapping applyJ,L2 data volume [GBytes],0.626581,0.163155,0.153668,0.156645
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.031733,0.007933,0.007933,0.007933
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.045397,0.011698,0.011105,0.011349
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],12021.498886,3008.826117,3003.490688,3005.374722
openmp-perfmon,BaseStrainMapping applyJT,CPI,4.283352,1.087827,1.036330,1.070838
openmp-perfmon,BaseStrainMapping applyJT,L2 Load [MBytes/s],18790.374720,4926.478268,4535.692816,4697.593680
openmp-perfmon,BaseStrainMapping applyJT,L2 Evict [MBytes/s],4656.720136,1278.604176,981.432977,1164.180034
openmp-perfmon,BaseStrainMapping applyJT,L2 bandwidth [MBytes/s],23447.094855,6073.470680,5517.125793,5861.773714
openmp-perfmon,BaseStrainMapping applyJT,L2 data volume [GBytes],0.186009,0.048182,0.043768,0.046502
openmp-perfmon,BaseStrainMapping apply,Runtime (RDTSC) [s],0.004188,0.001047,0.001047,0.001047
openmp-perfmon,BaseStrainMapping apply,Runtime unhalted [s],0.002844,0.000735,0.000686,0.000711
openmp-perfmon,BaseStrainMapping apply,Clock [MHz],12015.237753,3006.943879,3001.067629,3003.809438
openmp-perfmon,BaseStrainMapping apply,CPI,3.051703,0.790814,0.744073,0.762926
openmp-perfmon,BaseStrainMapping apply,L2 Load [MBytes/s],7353.304646,1875.615965,1774.994627,1838.326162
openmp-perfmon,BaseStrainMapping apply,L2 Evict [MBytes/s],1878.122329,509.525424,381.578608,469.530582
openmp-perfmon,BaseStrainMapping apply,L2 bandwidth [MBytes/s],9231.426975,2385.141389,2156.573235,2307.856744
openmp-perfmon,BaseStrainMapping apply,L2 data volume [GBytes],0.009665,0.002497,0.002258,0.002416
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000206,0.000051,0.000051,0.000051
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000821,0.000821,0.000000,0.000205
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3027.532144,3027.532144,0.000000,756.883036
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,5.968022,5.968022,0.000000,1.492005
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 Load [MBytes/s],20136.674242,20136.674242,0.000000,5034.168560
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 Evict [MBytes/s],3411.436323,3411.436323,0.000000,852.859081
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 bandwidth [MBytes/s],23548.110565,23548.110565,0.000000,5887.027641
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 data volume [GBytes],0.001212,0.001212,0.000000,0.000303
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.000938,0.000235,0.000235,0.000235
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.005835,0.005835,0.000000,0.001459
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],3023.996382,3023.996382,0.000000,755.999095
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,5.862563,5.862563,0.000000,1.465641
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 Load [MBytes/s],33012.711144,33012.711144,0.000000,8253.177786
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 Evict [MBytes/s],5961.617230,5961.617230,0.000000,1490.404308
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 bandwidth [MBytes/s],38974.328374,38974.328374,0.000000,9743.582093
openmp-perfmon,BaseDeformationMapping applyJT vec else,L2 data volume [GBytes],0.009144,0.009144,0.000000,0.002286
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.000940,0.000235,0.000235,0.000235
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.005317,0.005317,0.000000,0.001329
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],3026.444635,3026.444635,0.000000,756.611159
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,5.872866,5.872866,0.000000,1.468216
openmp-perfmon,BaseDeformationMapping applyJ else,L2 Load [MBytes/s],29976.265160,29976.265160,0.000000,7494.066290
openmp-perfmon,BaseDeformationMapping applyJ else,L2 Evict [MBytes/s],5944.881907,5944.881907,0.000000,1486.220477
openmp-perfmon,BaseDeformationMapping applyJ else,L2 bandwidth [MBytes/s],35921.147066,35921.147066,0.000000,8980.286767
openmp-perfmon,BaseDeformationMapping applyJ else,L2 data volume [GBytes],0.008443,0.008443,0.000000,0.002111
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.233186,0.058297,0.058297,0.058297
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.199461,0.050689,0.048598,0.049865
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11990.998442,2999.263134,2996.276771,2997.749610
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,5.873328,1.754352,0.846428,1.468332
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 Load [MBytes/s],19233.662895,5988.783083,4185.003891,4808.415724
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 Evict [MBytes/s],3042.025477,827.801146,713.716394,760.506369
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 bandwidth [MBytes/s],22275.688372,6816.584229,4916.093514,5568.922093
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 data volume [GBytes],1.298597,0.397384,0.286591,0.324649
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.065929,0.016482,0.016482,0.016482
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.049218,0.012740,0.011856,0.012305
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],12009.536792,3006.616107,2996.049596,3002.384198
openmp-perfmon,BaseStrainMapping applyDJT,CPI,3.309204,0.860029,0.806579,0.827301
openmp-perfmon,BaseStrainMapping applyDJT,L2 Load [MBytes/s],9947.922528,2637.695611,2393.908128,2486.980632
openmp-perfmon,BaseStrainMapping applyDJT,L2 Evict [MBytes/s],2866.560897,756.667672,633.756596,716.640224
openmp-perfmon,BaseStrainMapping applyDJT,L2 bandwidth [MBytes/s],12814.483424,3367.252487,3088.095162,3203.620856
openmp-perfmon,BaseStrainMapping applyDJT,L2 data volume [GBytes],0.211212,0.055500,0.050899,0.052803
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.025283,0.006321,0.006321,0.006321
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.023921,0.006176,0.005790,0.005980
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11992.049516,2999.077036,2997.290904,2998.012379
openmp-perfmon,BaseDeformationMapping apply,CPI,3.087747,0.781782,0.745879,0.771937
openmp-perfmon,BaseDeformationMapping apply,L2 Load [MBytes/s],14892.182116,3942.896370,3537.753164,3723.045529
openmp-perfmon,BaseDeformationMapping apply,L2 Evict [MBytes/s],3419.233689,873.763438,838.901195,854.808422
openmp-perfmon,BaseDeformationMapping apply,L2 bandwidth [MBytes/s],18311.415806,4804.114261,4411.516602,4577.853951
openmp-perfmon,BaseDeformationMapping apply,L2 data volume [GBytes],0.115740,0.030365,0.027884,0.028935
openmp-perfmon,Simu,Runtime (RDTSC) [s],5.430156,1.357539,1.357539,1.357539
openmp-perfmon,Simu,Runtime unhalted [s],0.504742,0.504742,0.000000,0.126186
openmp-perfmon,Simu,Clock [MHz],2992.726215,2992.726215,0.000000,748.181554
openmp-perfmon,Simu,CPI,1.189570,1.189570,0.000000,0.297392
openmp-perfmon,Simu,L2 Load [MBytes/s],1398.979536,1398.979536,0.000000,349.744884
openmp-perfmon,Simu,L2 Evict [MBytes/s],336.088973,336.088973,0.000000,84.022243
openmp-perfmon,Simu,L2 bandwidth [MBytes/s],1735.068509,1735.068509,0.000000,433.767127
openmp-perfmon,Simu,L2 data volume [GBytes],2.355423,2.355423,0.000000,0.588856
