Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping apply,Memory Write BW [MBytes/s],12.941561,12.941561,0.000000,3.235390
openmp-perfmon,BaseStrainMapping apply,Memory BW [MBytes/s],42.453568,42.453568,0.000000,10.613392
openmp-perfmon,BaseStrainMapping apply,Memory data volume [GBytes],0.000062,0.000062,0.000000,0.000016
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000445,0.000111,0.000111,0.000111
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.005412,0.005412,0.000000,0.001353
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],2997.186791,2997.186791,0.000000,749.296698
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,4.816168,4.816168,0.000000,1.204042
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Read BW [MBytes/s],1125.862069,1125.862069,0.000000,281.465517
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory Write BW [MBytes/s],685.057471,685.057471,0.000000,171.264368
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory BW [MBytes/s],1810.919540,1810.919540,0.000000,452.729885
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Memory data volume [GBytes],0.000202,0.000202,0.000000,0.000050
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime (RDTSC) [s],0.001856,0.000464,0.000464,0.000464
openmp-perfmon,BaseDeformationMapping applyJT vec else,Runtime unhalted [s],0.035413,0.035413,0.000000,0.008853
openmp-perfmon,BaseDeformationMapping applyJT vec else,Clock [MHz],2993.926258,2993.926258,0.000000,748.481565
openmp-perfmon,BaseDeformationMapping applyJT vec else,CPI,4.809783,4.809783,0.000000,1.202446
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory Read BW [MBytes/s],958.911312,958.911312,0.000000,239.727828
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory Write BW [MBytes/s],197.078134,197.078134,0.000000,49.269533
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory BW [MBytes/s],1155.989446,1155.989446,0.000000,288.997362
openmp-perfmon,BaseDeformationMapping applyJT vec else,Memory data volume [GBytes],0.000536,0.000536,0.000000,0.000134
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime (RDTSC) [s],0.002030,0.000508,0.000508,0.000508
openmp-perfmon,BaseDeformationMapping applyJ else,Runtime unhalted [s],0.032310,0.032310,0.000000,0.008078
openmp-perfmon,BaseDeformationMapping applyJ else,Clock [MHz],2991.161233,2991.161233,0.000000,747.790308
openmp-perfmon,BaseDeformationMapping applyJ else,CPI,4.883161,4.883161,0.000000,1.220790
openmp-perfmon,BaseDeformationMapping applyJ else,Memory Read BW [MBytes/s],1049.456075,1049.456075,0.000000,262.364019
openmp-perfmon,BaseDeformationMapping applyJ else,Memory Write BW [MBytes/s],295.935769,295.935769,0.000000,73.983942
openmp-perfmon,BaseDeformationMapping applyJ else,Memory BW [MBytes/s],1345.391844,1345.391844,0.000000,336.347961
openmp-perfmon,BaseDeformationMapping applyJ else,Memory data volume [GBytes],0.000683,0.000683,0.000000,0.000171
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.303893,0.075973,0.075973,0.075973
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.493515,0.167926,0.090761,0.123379
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11981.655066,2996.781987,2993.353161,2995.413767
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,4.318021,1.400445,0.859875,1.079505
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory Read BW [MBytes/s],27.199432,27.199432,0.000000,6.799858
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory Write BW [MBytes/s],5.697156,5.697156,0.000000,1.424289
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory BW [MBytes/s],32.896588,32.896588,0.000000,8.224147
openmp-perfmon,BaseDeformationMapping applyJT vec,Memory data volume [GBytes],0.002499,0.002499,0.000000,0.000625
openmp-perfmon,BaseStrainMapping applyDJT,Runtime (RDTSC) [s],0.083044,0.020761,0.020761,0.020761
openmp-perfmon,BaseStrainMapping applyDJT,Runtime unhalted [s],0.106608,0.035634,0.023413,0.026652
openmp-perfmon,BaseStrainMapping applyDJT,Clock [MHz],11979.413392,2996.854416,2991.744184,2994.853348
openmp-perfmon,BaseStrainMapping applyDJT,CPI,1.997772,0.646900,0.445425,0.499443
openmp-perfmon,BaseStrainMapping applyDJT,Memory Read BW [MBytes/s],12.839465,12.839465,0.000000,3.209866
openmp-perfmon,BaseStrainMapping applyDJT,Memory Write BW [MBytes/s],2.910073,2.910073,0.000000,0.727518
openmp-perfmon,BaseStrainMapping applyDJT,Memory BW [MBytes/s],15.749538,15.749538,0.000000,3.937384
openmp-perfmon,BaseStrainMapping applyDJT,Memory data volume [GBytes],0.000327,0.000327,0.000000,0.000082
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.067207,0.016802,0.016802,0.016802
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.081465,0.025016,0.018786,0.020366
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11979.447354,2996.482881,2992.228989,2994.861839
openmp-perfmon,BaseDeformationMapping apply,CPI,2.913350,0.863899,0.680795,0.728338
openmp-perfmon,BaseDeformationMapping apply,Memory Read BW [MBytes/s],607.648265,607.648265,0.000000,151.912066
openmp-perfmon,BaseDeformationMapping apply,Memory Write BW [MBytes/s],154.140409,154.140409,0.000000,38.535102
openmp-perfmon,BaseDeformationMapping apply,Memory BW [MBytes/s],761.788674,761.788674,0.000000,190.447169
openmp-perfmon,BaseDeformationMapping apply,Memory data volume [GBytes],0.012799,0.012799,0.000000,0.003200
openmp-perfmon,Simu,Runtime (RDTSC) [s],26.773828,6.693457,6.693457,6.693457
openmp-perfmon,Simu,Runtime unhalted [s],1.686262,1.686262,0.000000,0.421566
openmp-perfmon,Simu,Clock [MHz],2992.992848,2992.992848,0.000000,748.248212
openmp-perfmon,Simu,CPI,1.045142,1.045142,0.000000,0.261286
openmp-perfmon,Simu,Memory Read BW [MBytes/s],9.518530,9.518530,0.000000,2.379633
openmp-perfmon,Simu,Memory Write BW [MBytes/s],2.468818,2.468818,0.000000,0.617205
openmp-perfmon,Simu,Memory BW [MBytes/s],11.987348,11.987348,0.000000,2.996837
openmp-perfmon,Simu,Memory data volume [GBytes],0.080237,0.080237,0.000000,0.020059
